AltitudeRange, Latitude, Month, NumberDiverse, TotalNumber, PercentDiverse
60,0,1,6214,7970,77.96737767
60,0,2,5824,7366,79.06597882
60,0,3,6527,8012,81.46530205
60,0,4,6063,7608,79.69242902
60,0,5,5610,7744,72.44318182
60,0,6,5401,7374,73.24382967
60,0,7,5478,7646,71.64530473
60,0,8,5162,7563,68.25333862
60,0,9,5277,7019,75.18164981
60,0,10,6066,7694,78.84065506
60,0,11,5423,7082,76.57441401
60,0,12,5885,7533,78.12292579
60,5,1,3442,6529,52.71863991
60,5,2,3532,6083,58.06345553
60,5,3,4489,6689,67.11018089
60,5,4,4518,6426,70.30812325
60,5,5,3925,6601,59.46068777
60,5,6,3241,6569,49.33779875
60,5,7,2772,6521,42.50881767
60,5,8,1989,6430,30.93312597
60,5,9,2714,6053,44.83727077
60,5,10,3803,6585,57.75246773
60,5,11,3798,6028,63.00597213
60,5,12,3608,6367,56.6671902
60,10,1,2801,5407,51.80321805
60,10,2,2509,4740,52.93248945
60,10,3,3196,5385,59.35004643
60,10,4,3305,5206,63.48444103
60,10,5,2631,5584,47.11676218
60,10,6,1295,5273,24.55907453
60,10,7,784,5433,14.43033315
60,10,8,416,5071,8.203510156
60,10,9,1043,4777,21.8337869
60,10,10,2281,5216,43.73082822
60,10,11,2528,4730,53.44608879
60,10,12,2718,4919,55.25513316
60,15,1,1668,5307,31.43018655
60,15,2,1603,4828,33.2021541
60,15,3,1711,5596,30.57541101
60,15,4,2505,5611,44.6444484
60,15,5,2515,5700,44.12280702
60,15,6,1901,5767,32.96341252
60,15,7,1347,5689,23.67727193
60,15,8,1036,5273,19.64725962
60,15,9,1431,5139,27.84588441
60,15,10,2653,5244,50.59115179
60,15,11,2879,5216,55.19555215
60,15,12,2151,5108,42.11041504
60,20,1,418,7019,5.955264283
60,20,2,443,6322,7.007276178
60,20,3,700,7161,9.775171065
60,20,4,2046,7441,27.49630426
60,20,5,4071,8059,50.51495223
60,20,6,2444,7269,33.62223139
60,20,7,630,7101,8.871989861
60,20,8,639,6545,9.763177998
60,20,9,1931,6551,29.47641581
60,20,10,3978,7310,54.41860465
60,20,11,1776,6775,26.21402214
60,20,12,714,6693,10.66786195
60,25,1,200,10421,1.919201612
60,25,2,161,9679,1.663394979
60,25,3,366,10895,3.359339146
60,25,4,1044,10910,9.569202566
60,25,5,4170,11912,35.00671592
60,25,6,5796,11673,49.65304549
60,25,7,2363,11305,20.90225564
60,25,8,3136,10700,29.30841121
60,25,9,6093,10819,56.31758943
60,25,10,4244,11126,38.14488585
60,25,11,758,10086,7.515367837
60,25,12,249,10086,2.46876859
60,30,1,101,11104,0.909582133
60,30,2,57,10300,0.553398058
60,30,3,109,11150,0.977578475
60,30,4,182,10944,1.663011696
60,30,5,1527,11483,13.29791866
60,30,6,4864,11064,43.96240058
60,30,7,6018,11588,51.93303417
60,30,8,7550,11333,66.61960646
60,30,9,4825,10618,45.44170277
60,30,10,1269,10941,11.59857417
60,30,11,313,10062,3.110713576
60,30,12,60,10211,0.587601606
60,35,1,238,12996,1.831332718
60,35,2,114,11913,0.956937799
60,35,3,190,13040,1.457055215
60,35,4,402,12642,3.179876602
60,35,5,1614,13446,12.00356983
60,35,6,4249,13080,32.48470948
60,35,7,7288,13473,54.09337193
60,35,8,6417,12852,49.92997199
60,35,9,3015,12291,24.53014401
60,35,10,664,12358,5.373037708
60,35,11,200,11666,1.714383679
60,35,12,96,11944,0.803750837
60,40,1,239,12250,1.951020408
60,40,2,172,11205,1.535029005
60,40,3,253,12239,2.06716235
60,40,4,510,11916,4.279959718
60,40,5,1322,12408,10.65441651
60,40,6,2292,12091,18.95624845
60,40,7,3503,12447,28.14332771
60,40,8,2387,11873,20.10443864
60,40,9,1175,11319,10.38077569
60,40,10,472,11489,4.108277483
60,40,11,153,10897,1.404056162
60,40,12,137,11220,1.221033868
60,45,1,143,5732,2.494766225
60,45,2,136,5183,2.623962956
60,45,3,166,5675,2.925110132
60,45,4,268,5547,4.831440418
60,45,5,661,5719,11.55796468
60,45,6,866,5653,15.31929949
60,45,7,729,5796,12.57763975
60,45,8,421,5531,7.611643464
60,45,9,284,5141,5.524217078
60,45,10,128,5261,2.432997529
60,45,11,45,5012,0.897845172
60,45,12,109,5160,2.112403101
60,50,1,349,18822,1.854213155
60,50,2,668,18854,3.543014745
60,50,3,902,21283,4.238124325
60,50,4,1598,20482,7.801972464
60,50,5,2605,19958,13.05241006
60,50,6,3778,19926,18.96015256
60,50,7,4206,20377,20.64091868
60,50,8,1993,19020,10.47844374
60,50,9,1625,17574,9.246614317
60,50,10,848,18557,4.569704155
60,50,11,665,19714,3.373237293
60,50,12,321,18561,1.729432681
60,55,1,193,3993,4.833458552
60,55,2,255,3762,6.77830941
60,55,3,286,4052,7.058242843
60,55,4,486,3998,12.15607804
60,55,5,708,4130,17.14285714
60,55,6,910,4078,22.31486023
60,55,7,601,4120,14.58737864
60,55,8,310,3932,7.884028484
60,55,9,91,3630,2.506887052
60,55,10,124,3738,3.317281969
60,55,11,138,3569,3.866629308
60,55,12,128,3727,3.434397639
60,60,1,127,3478,3.651523864
60,60,2,135,3208,4.208229426
60,60,3,227,3542,6.408808583
60,60,4,412,3378,12.19656602
60,60,5,681,3494,19.49055524
60,60,6,925,3337,27.71950854
60,60,7,749,3475,21.55395683
60,60,8,397,3233,12.27961646
60,60,9,151,3075,4.910569106
60,60,10,129,3245,3.975346687
60,60,11,143,3081,4.641350211
60,60,12,90,3069,2.93255132
60,65,1,90,4218,2.13371266
60,65,2,162,4905,3.302752294
60,65,3,195,5962,3.270714525
60,65,4,363,6120,5.931372549
60,65,5,561,5457,10.28037383
60,65,6,815,5179,15.73662869
60,65,7,720,5401,13.33086465
60,65,8,381,5409,7.043815862
60,65,9,211,5693,3.70630599
60,65,10,142,6106,2.325581395
60,65,11,102,5463,1.867105986
60,65,12,73,4475,1.631284916
60,70,1,66,2901,2.275077559
60,70,2,149,2997,4.971638305
60,70,3,126,3407,3.698268271
60,70,4,212,3334,6.358728254
60,70,5,271,3013,8.994357783
60,70,6,290,2461,11.78382771
60,70,7,356,2868,12.41283124
60,70,8,214,2608,8.205521472
60,70,9,140,3075,4.552845528
60,70,10,132,3886,3.396809058
60,70,11,113,3544,3.188487585
60,70,12,55,3093,1.778208859
60,75,1,37,1143,3.237095363
60,75,2,38,1150,3.304347826
60,75,3,45,1414,3.182461103
60,75,4,64,1402,4.564907275
60,75,5,78,1385,5.631768953
60,75,6,92,1095,8.401826484
60,75,7,113,1324,8.534743202
60,75,8,90,1258,7.154213037
60,75,9,67,1746,3.837342497
60,75,10,43,1634,2.631578947
60,75,11,38,1485,2.558922559
60,75,12,25,1255,1.992031873
60,80,1,21,416,5.048076923
60,80,2,7,409,1.711491443
60,80,3,12,482,2.489626556
60,80,4,33,524,6.297709924
60,80,5,31,408,7.598039216
60,80,6,34,281,12.09964413
60,80,7,45,388,11.59793814
60,80,8,41,417,9.832134293
60,80,9,36,520,6.923076923
60,80,10,23,648,3.549382716
60,80,11,27,556,4.856115108
60,80,12,14,500,2.8
62.5,0,1,7072,8489,83.30781011
62.5,0,2,6642,7792,85.2412731
62.5,0,3,7288,8470,86.04486423
62.5,0,4,6762,7963,84.91774457
62.5,0,5,6493,8246,78.74120786
62.5,0,6,6099,7736,78.83919338
62.5,0,7,6281,8209,76.51358265
62.5,0,8,5971,7975,74.87147335
62.5,0,9,6098,7585,80.39551747
62.5,0,10,6828,8016,85.17964072
62.5,0,11,6167,7517,82.04070773
62.5,0,12,6560,7883,83.21704935
62.5,5,1,4925,6978,70.57896245
62.5,5,2,4642,6332,73.31017056
62.5,5,3,5574,7016,79.44697834
62.5,5,4,5419,6676,81.1713601
62.5,5,5,4925,6936,71.00634371
62.5,5,6,3865,6849,56.43159585
62.5,5,7,3320,6977,47.58492189
62.5,5,8,2483,6715,36.97691735
62.5,5,9,3382,6419,52.68733448
62.5,5,10,4722,6899,68.44470213
62.5,5,11,4773,6359,75.05897154
62.5,5,12,4787,6647,72.01745148
62.5,10,1,3668,5914,62.02231992
62.5,10,2,3296,5173,63.71544558
62.5,10,3,4041,5871,68.82984159
62.5,10,4,4130,5621,73.47447073
62.5,10,5,3431,6038,56.82345147
62.5,10,6,1628,5642,28.85501595
62.5,10,7,920,5898,15.59850797
62.5,10,8,515,5607,9.184947387
62.5,10,9,1366,5292,25.81254724
62.5,10,10,2921,5657,51.6351423
62.5,10,11,3276,5163,63.4514817
62.5,10,12,3483,5383,64.70369682
62.5,15,1,2653,5901,44.95848161
62.5,15,2,2411,5361,44.97295281
62.5,15,3,2643,6139,43.05261443
62.5,15,4,3571,6090,58.63711002
62.5,15,5,3535,6238,56.6688041
62.5,15,6,2529,6549,38.61658268
62.5,15,7,1562,6629,23.56313169
62.5,15,8,1158,6132,18.88454012
62.5,15,9,1775,5945,29.85702271
62.5,15,10,3411,5970,57.13567839
62.5,15,11,3925,5840,67.20890411
62.5,15,12,3138,5627,55.76683846
62.5,20,1,1031,8064,12.78521825
62.5,20,2,1035,7329,14.12198117
62.5,20,3,1691,8199,20.6244664
62.5,20,4,3739,8266,45.23348657
62.5,20,5,5761,8831,65.2361001
62.5,20,6,2939,8076,36.39177811
62.5,20,7,682,8180,8.337408313
62.5,20,8,696,7491,9.291149379
62.5,20,9,2199,7315,30.06151743
62.5,20,10,5183,8019,64.63399426
62.5,20,11,3017,7563,39.89157742
62.5,20,12,1481,7648,19.36453975
62.5,25,1,580,12095,4.795369988
62.5,25,2,584,11121,5.25132632
62.5,25,3,1154,12398,9.307952896
62.5,25,4,2912,12150,23.96707819
62.5,25,5,7401,12804,57.8022493
62.5,25,6,7469,12508,59.71378318
62.5,25,7,2694,12480,21.58653846
62.5,25,8,3479,11794,29.49804986
62.5,25,9,7243,11604,62.41813168
62.5,25,10,6616,11985,55.20233625
62.5,25,11,1812,11314,16.01555595
62.5,25,12,671,11650,5.759656652
62.5,30,1,318,11231,2.831448669
62.5,30,2,149,10460,1.424474187
62.5,30,3,319,11337,2.813795537
62.5,30,4,702,11085,6.332882273
62.5,30,5,3375,11590,29.11993097
62.5,30,6,7105,11144,63.75628141
62.5,30,7,6964,11671,59.6692657
62.5,30,8,8841,11448,77.22746331
62.5,30,9,7027,10686,65.75893693
62.5,30,10,2682,10999,24.38403491
62.5,30,11,645,10175,6.339066339
62.5,30,12,151,10305,1.465308103
62.5,35,1,552,13333,4.140103503
62.5,35,2,256,12244,2.090819993
62.5,35,3,436,13370,3.261032162
62.5,35,4,956,12896,7.413151365
62.5,35,5,3366,13635,24.68646865
62.5,35,6,7354,13218,55.63625359
62.5,35,7,9753,13626,71.57639806
62.5,35,8,9264,13009,71.21223768
62.5,35,9,5280,12450,42.40963855
62.5,35,10,1433,12592,11.38024142
62.5,35,11,395,11907,3.317376333
62.5,35,12,243,12236,1.985943119
62.5,40,1,477,12302,3.877418306
62.5,40,2,360,11221,3.208270208
62.5,40,3,513,12305,4.169036977
62.5,40,4,993,11952,8.308232932
62.5,40,5,2388,12438,19.19922817
62.5,40,6,4517,12116,37.28128095
62.5,40,7,6377,12463,51.16745567
62.5,40,8,4673,11896,39.28211163
62.5,40,9,2128,11340,18.7654321
62.5,40,10,812,11516,7.051059396
62.5,40,11,292,10930,2.671546203
62.5,40,12,259,11243,2.303655608
62.5,45,1,240,5740,4.181184669
62.5,45,2,253,5196,4.8691301
62.5,45,3,285,5707,4.993867181
62.5,45,4,487,5560,8.758992806
62.5,45,5,1109,5737,19.33066062
62.5,45,6,1655,5672,29.17842031
62.5,45,7,1751,5814,30.11695906
62.5,45,8,1098,5542,19.81234211
62.5,45,9,488,5184,9.413580247
62.5,45,10,223,5289,4.216297977
62.5,45,11,82,5032,1.629570747
62.5,45,12,176,5171,3.403596983
62.5,50,1,601,23409,2.567388611
62.5,50,2,1131,23277,4.858873566
62.5,50,3,1631,26043,6.262719349
62.5,50,4,2953,27695,10.66257447
62.5,50,5,5940,32069,18.52256073
62.5,50,6,9354,32035,29.19931325
62.5,50,7,10851,32710,33.17334149
62.5,50,8,5257,29401,17.88034421
62.5,50,9,3031,27226,11.13274076
62.5,50,10,1470,26131,5.625502277
62.5,50,11,972,24422,3.980018017
62.5,50,12,516,23089,2.234830439
62.5,55,1,277,4008,6.911177645
62.5,55,2,351,3780,9.285714286
62.5,55,3,423,4092,10.3372434
62.5,55,4,634,4012,15.80259222
62.5,55,5,945,4156,22.73820982
62.5,55,6,1208,4104,29.43469786
62.5,55,7,950,4155,22.86401925
62.5,55,8,483,3969,12.16931217
62.5,55,9,132,3680,3.586956522
62.5,55,10,160,3778,4.235044997
62.5,55,11,193,3610,5.346260388
62.5,55,12,194,3743,5.183008282
62.5,60,1,169,3482,4.853532453
62.5,60,2,185,3212,5.759651308
62.5,60,3,299,3560,8.398876404
62.5,60,4,522,3383,15.43009163
62.5,60,5,894,3505,25.5064194
62.5,60,6,1132,3351,33.78096091
62.5,60,7,1021,3487,29.28018354
62.5,60,8,567,3256,17.41400491
62.5,60,9,196,3091,6.340989971
62.5,60,10,163,3252,5.012300123
62.5,60,11,191,3090,6.181229773
62.5,60,12,117,3095,3.780290792
62.5,65,1,157,5488,2.860787172
62.5,65,2,293,6206,4.721237512
62.5,65,3,330,7355,4.486743712
62.5,65,4,663,7826,8.471760797
62.5,65,5,1357,8703,15.59232449
62.5,65,6,1997,8583,23.26692299
62.5,65,7,2000,8889,22.49971875
62.5,65,8,930,8203,11.33731562
62.5,65,9,447,8222,5.436633423
62.5,65,10,225,7662,2.936570086
62.5,65,11,158,6687,2.36279348
62.5,65,12,110,5788,1.90048376
62.5,70,1,114,3554,3.207653348
62.5,70,2,200,3592,5.567928731
62.5,70,3,185,4051,4.566773636
62.5,70,4,351,3957,8.870356331
62.5,70,5,553,4028,13.72889772
62.5,70,6,708,3668,19.30207197
62.5,70,7,700,3949,17.72600658
62.5,70,8,434,3590,12.08913649
62.5,70,9,241,3740,6.443850267
62.5,70,10,190,4461,4.259134723
62.5,70,11,148,4142,3.573153066
62.5,70,12,83,3728,2.22639485
62.5,75,1,75,1402,5.349500713
62.5,75,2,66,1444,4.570637119
62.5,75,3,73,1700,4.294117647
62.5,75,4,120,1660,7.228915663
62.5,75,5,206,1902,10.83070452
62.5,75,6,282,1669,16.89634512
62.5,75,7,295,1911,15.43694401
62.5,75,8,253,1760,14.375
62.5,75,9,157,2101,7.47263208
62.5,75,10,82,1843,4.449267499
62.5,75,11,49,1686,2.90628707
62.5,75,12,40,1492,2.680965147
62.5,80,1,33,487,6.776180698
62.5,80,2,10,479,2.087682672
62.5,80,3,25,558,4.480286738
62.5,80,4,60,578,10.38062284
62.5,80,5,87,554,15.70397112
62.5,80,6,113,448,25.22321429
62.5,80,7,146,579,25.21588946
62.5,80,8,122,552,22.10144928
62.5,80,9,88,636,13.83647799
62.5,80,10,43,700,6.142857143
62.5,80,11,33,588,5.612244898
62.5,80,12,24,562,4.270462633
65,0,1,7359,8533,86.24165006
65,0,2,6883,7836,87.83818275
65,0,3,7578,8517,88.97499119
65,0,4,7023,7994,87.85339004
65,0,5,6798,8285,82.05190103
65,0,6,6376,7771,82.04864239
65,0,7,6607,8278,79.81396473
65,0,8,6537,8026,81.44779467
65,0,9,6650,7640,87.04188482
65,0,10,7106,8063,88.13096862
65,0,11,6382,7569,84.31761131
65,0,12,6792,7918,85.77923718
65,5,1,5556,7059,78.7080323
65,5,2,5136,6384,80.45112782
65,5,3,6106,7095,86.06060606
65,5,4,5796,6764,85.68894145
65,5,5,5317,7011,75.83796891
65,5,6,4173,6912,60.37326389
65,5,7,3611,7075,51.03886926
65,5,8,2895,6790,42.63622975
65,5,9,3922,6515,60.19953952
65,5,10,5174,6964,74.29638139
65,5,11,5175,6427,80.51968259
65,5,12,5386,6732,80.00594177
65,10,1,4210,6080,69.24342105
65,10,2,3812,5304,71.87028658
65,10,3,4555,6067,75.0782924
65,10,4,4632,5873,78.86940235
65,10,5,3849,6248,61.60371319
65,10,6,1808,5826,31.033299
65,10,7,992,6085,16.30238291
65,10,8,569,5871,9.691704991
65,10,9,1575,5507,28.59996368
65,10,10,3306,5855,56.4645602
65,10,11,3708,5315,69.76481656
65,10,12,3937,5550,70.93693694
65,15,1,3479,6016,57.82912234
65,15,2,3083,5531,55.74037245
65,15,3,3432,6312,54.37262357
65,15,4,4377,6323,69.22346987
65,15,5,4168,6511,64.01474428
65,15,6,2777,6831,40.65290587
65,15,7,1667,6976,23.8962156
65,15,8,1208,6441,18.75485173
65,15,9,1887,6138,30.742913
65,15,10,3719,6124,60.72828217
65,15,11,4519,5953,75.91130522
65,15,12,3813,5754,66.26694473
65,20,1,1867,8299,22.49668635
65,20,2,1839,7557,24.33505359
65,20,3,3019,8442,35.76166785
65,20,4,5189,8394,61.81796521
65,20,5,6651,8972,74.13062862
65,20,6,3134,8343,37.56442527
65,20,7,702,8425,8.332344214
65,20,8,720,7698,9.353078722
65,20,9,2282,7521,30.34170988
65,20,10,5785,8121,71.23506957
65,20,11,4075,7765,52.47907276
65,20,12,2369,7880,30.06345178
65,25,1,1374,12396,11.08422072
65,25,2,1480,11367,13.02014604
65,25,3,2658,12629,21.04679705
65,25,4,5291,12334,42.89768121
65,25,5,9618,12906,74.52347745
65,25,6,8195,12674,64.65993372
65,25,7,2822,12727,22.17333229
65,25,8,3591,12071,29.74898517
65,25,9,7710,11749,65.62260618
65,25,10,8363,12120,69.00165017
65,25,11,3171,11577,27.39051568
65,25,12,1531,11905,12.8601428
65,30,1,742,11256,6.592039801
65,30,2,427,10477,4.075594159
65,30,3,897,11361,7.89543174
65,30,4,1936,11102,17.43829941
65,30,5,5734,11597,49.44382168
65,30,6,8547,11149,76.661584
65,30,7,7402,11679,63.37871393
65,30,8,9307,11456,81.24127095
65,30,9,8415,10697,78.66691596
65,30,10,4381,11009,39.79471342
65,30,11,1238,10190,12.14916585
65,30,12,416,10320,4.031007752
65,35,1,1105,13376,8.261064593
65,35,2,675,12284,5.494952784
65,35,3,1078,13402,8.043575586
65,35,4,2094,12921,16.20617599
65,35,5,5678,13650,41.5970696
65,35,6,9876,13230,74.64852608
65,35,7,11047,13637,81.00755298
65,35,8,10997,13026,84.42346077
65,35,9,7487,12467,60.054544
65,35,10,2512,12618,19.90806784
65,35,11,761,11929,6.379411518
65,35,12,543,12269,4.425788573
65,40,1,893,12318,7.249553499
65,40,2,686,11233,6.107006143
65,40,3,1023,12327,8.298856169
65,40,4,1773,11968,14.81450535
65,40,5,3796,12451,30.48751104
65,40,6,7024,12127,57.92034304
65,40,7,8922,12470,71.54771451
65,40,8,7098,11908,59.6069869
65,40,9,3418,11347,30.12249934
65,40,10,1326,11532,11.49843913
65,40,11,528,10945,4.824120603
65,40,12,532,11254,4.727208104
65,45,1,375,5745,6.527415144
65,45,2,407,5200,7.826923077
65,45,3,507,5717,8.868287563
65,45,4,826,5565,14.8427673
65,45,5,1743,5737,30.38173261
65,45,6,2760,5674,48.64293268
65,45,7,3184,5818,54.72671021
65,45,8,1975,5544,35.62409812
65,45,9,766,5198,14.73643709
65,45,10,395,5295,7.4598678
65,45,11,160,5038,3.175863438
65,45,12,302,5174,5.836876691
65,50,1,938,28320,3.312146893
65,50,2,1681,27280,6.16202346
65,50,3,2400,29703,8.07999192
65,50,4,4342,31228,13.90418855
65,50,5,9114,35748,25.49513259
65,50,6,14814,35731,41.45979682
65,50,7,17659,36902,47.85377486
65,50,8,9559,33390,28.62833184
65,50,9,4430,30463,14.54223156
65,50,10,2096,29235,7.169488627
65,50,11,1299,27482,4.726730223
65,50,12,759,27243,2.78603678
65,55,1,362,4018,9.009457442
65,55,2,439,3785,11.5984148
65,55,3,544,4106,13.24890404
65,55,4,835,4018,20.78148333
65,55,5,1204,4161,28.93535208
65,55,6,1517,4114,36.87408848
65,55,7,1325,4157,31.87394756
65,55,8,685,3977,17.22403822
65,55,9,185,3688,5.01626898
65,55,10,213,3795,5.612648221
65,55,11,247,3627,6.810035842
65,55,12,264,3751,7.038123167
65,60,1,208,3487,5.965012905
65,60,2,239,3218,7.426973275
65,60,3,352,3565,9.873772791
65,60,4,657,3386,19.40342587
65,60,5,1083,3509,30.86349387
65,60,6,1307,3360,38.89880952
65,60,7,1317,3490,37.73638968
65,60,8,765,3262,23.45187002
65,60,9,243,3096,7.848837209
65,60,10,193,3258,5.923879681
65,60,11,244,3096,7.881136951
65,60,12,144,3101,4.643663334
65,65,1,226,7289,3.100562491
65,65,2,419,7741,5.412737372
65,65,3,491,8971,5.473191394
65,65,4,975,8981,10.85625209
65,65,5,2130,9848,21.62875711
65,65,6,3091,9823,31.46696529
65,65,7,3105,10146,30.60319338
65,65,8,1451,9170,15.82333697
65,65,9,666,9040,7.367256637
65,65,10,302,8676,3.480866759
65,65,11,220,8232,2.67249757
65,65,12,160,7689,2.080894785
65,70,1,155,4294,3.609687937
65,70,2,266,4222,6.300331596
65,70,3,254,4779,5.314919439
65,70,4,497,4354,11.414791
65,70,5,846,4423,19.12728917
65,70,6,1051,4115,25.54070474
65,70,7,1015,4355,23.3065442
65,70,8,666,3977,16.74629117
65,70,9,327,3995,8.185231539
65,70,10,241,4855,4.963954686
65,70,11,195,4730,4.122621564
65,70,12,121,4487,2.696679296
65,75,1,102,1680,6.071428571
65,75,2,92,1758,5.233219568
65,75,3,107,1989,5.379587733
65,75,4,198,1836,10.78431373
65,75,5,315,2036,15.47151277
65,75,6,436,1844,23.64425163
65,75,7,466,2071,22.50120715
65,75,8,362,1910,18.95287958
65,75,9,237,2208,10.73369565
65,75,10,131,1981,6.612821807
65,75,11,70,1911,3.663003663
65,75,12,60,1770,3.389830508
65,80,1,41,548,7.481751825
65,80,2,16,546,2.93040293
65,80,3,34,613,5.546492659
65,80,4,88,612,14.37908497
65,80,5,119,587,20.2725724
65,80,6,163,499,32.66533066
65,80,7,218,640,34.0625
65,80,8,180,593,30.35413153
65,80,9,125,673,18.57355126
65,80,10,53,710,7.464788732
65,80,11,50,609,8.210180624
65,80,12,28,596,4.697986577
